,Age,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Nationality_African,Nationality_American,Nationality_Asian,Nationality_Australian,Nationality_European,Fee Structure_High,Fee Structure_Low,Fee Structure_Mid,Loyalty Classification_Gold,Loyalty Classification_Jade,Loyalty Classification_Platinum,Loyalty Classification_Silver,Income Band_Low,Income Band_Mid,Income Band_High
0,24,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,23,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2,27,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,3,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3,40,356808.11,5473.15,2,4205.0,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0,4,4,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
4,46,130711.68,48077.6,1,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0,3,1,2,5,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
5,23,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,1,1,6,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
6,46,57336.47,13929.16,1,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1,1,1,2,7,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
7,78,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,2,2,8,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
8,67,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,2,2,9,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
9,51,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,3,1,10,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
10,55,74966.51,16928.73,1,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3,1,3,1,11,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
11,73,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,3,2,12,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
12,45,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,3,2,13,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
13,44,124434.78,26146.0,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,3,2,14,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
14,36,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,3,1,15,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
15,55,78892.52,32369.71,1,4882.13,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3,2,3,1,16,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
16,61,257120.22,16263.99,1,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1,3,4,2,17,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
17,56,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,4,2,18,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
18,43,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,3,2,19,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
19,63,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,1,2,20,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
20,41,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,2,1,21,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
21,58,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,3,2,22,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
